Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,06/21/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,In-flight meal not included,5769
IndiGo,06/03/19,Bangalore,New Delhi,BLR ? DEL,22:10,04/06/21 1:00,2h 50m,1,No info,3359
GoAir,03/03/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:50,2h 55m,1,No info,6722
IndiGo,03/18/19,Kolkata,Bangalore,CCU ? BLR,9:35,12:20,2h 45m,1,No info,4462
Air India,03/01/19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,19630
IndiGo,03/15/19,Mumbai,Hyderabad,BOM ? HYD,21:20,22:45,1h 25m,1,No info,2754
Air India,03/27/19,Mumbai,Hyderabad,BOM ? HYD,6:20,7:40,1h 20m,1,No info,2575
IndiGo,06/24/19,New Delhi,Cochin,DEL ? COK,5:35,8:50,3h 15m,1,No info,5000
Jet Airways,05/24/19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,1,In-flight meal not included,4030
IndiGo,05/06/19,Kolkata,Bangalore,CCU ? BLR,21:25,07/05/21 0:05,2h 40m,1,No info,4804
IndiGo,05/12/19,Bangalore,New Delhi,BLR ? DEL,16:55,19:55,3h,1,No info,4823
SpiceJet,03/06/19,Mumbai,Hyderabad,BOM ? HYD,5:45,7:05,1h 20m,1,No info,4129
IndiGo,05/18/19,Kolkata,Bangalore,CCU ? BLR,21:25,19-05-21 0:05,2h 40m,1,No info,4804
Jet Airways,05/06/19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,No info,7229
SpiceJet,03/18/19,Chennai,Kolkata,MAA ? CCU,9:30,12:05,2h 35m,1,No info,3859
Vistara,05/09/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:35,2h 35m,1,No info,4878
IndiGo,05/03/19,Mumbai,Hyderabad,BOM ? HYD,2:35,4:05,1h 30m,1,No info,2754
Vistara,06/27/19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,1,No info,4668
Air Asia,05/12/19,Kolkata,Bangalore,CCU ? BLR,10:20,12:55,2h 35m,1,No info,5216
SpiceJet,04/24/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No info,4174
IndiGo,03/06/19,Chennai,Kolkata,MAA ? CCU,13:20,15:35,2h 15m,1,No info,7295
SpiceJet,05/21/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No check-in baggage included,3543
IndiGo,03/15/19,Kolkata,Bangalore,CCU ? BLR,15:20,17:55,2h 35m,1,No info,4148
Jet Airways,06/27/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,No info,8016
SpiceJet,06/15/19,Kolkata,Bangalore,CCU ? BLR,14:55,17:25,2h 30m,1,No check-in baggage included,3841
IndiGo,03/24/19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,7303
GoAir,04/09/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,1,No info,4239
IndiGo,03/12/19,Kolkata,Bangalore,CCU ? BLR,20:25,23:05,2h 40m,1,No info,4148
SpiceJet,05/24/19,Bangalore,New Delhi,BLR ? DEL,21:10,25-05-21 0:05,2h 55m,1,No info,3971
Air India,06/18/19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,1,No info,5201
Jet Airways,06/15/19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,1,In-flight meal not included,7229
IndiGo,06/06/19,Kolkata,Bangalore,CCU ? BLR,22:15,07/06/21 0:50,2h 35m,1,No info,4804
Jet Airways,04/24/19,Bangalore,New Delhi,BLR ? DEL,17:45,20:45,3h,1,No info,7229
Jet Airways,04/27/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,In-flight meal not included,4544
IndiGo,06/15/19,Kolkata,Bangalore,CCU ? BLR,21:25,16-06-21 0:05,2h 40m,1,No info,4804
IndiGo,06/01/19,Bangalore,New Delhi,BLR ? DEL,23:30,02/06/21 2:20,2h 50m,1,No info,4591
Jet Airways,06/21/19,Bangalore,New Delhi,BLR ? DEL,17:45,20:45,3h,1,In-flight meal not included,7754
Jet Airways,06/09/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,1,No info,8016
SpiceJet,03/24/19,Kolkata,Bangalore,CCU ? BLR,6:55,9:35,2h 40m,1,No check-in baggage included,4781
Vistara,06/27/19,Bangalore,New Delhi,BLR ? DEL,11:30,14:20,2h 50m,1,No info,4668
IndiGo,03/03/19,Chennai,Kolkata,MAA ? CCU,14:40,17:05,2h 25m,1,No info,7295
IndiGo,03/09/19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,6860
Vistara,04/15/19,New Delhi,Cochin,DEL ? COK,6:00,9:10,3h 10m,1,No info,6216
IndiGo,04/09/19,Bangalore,New Delhi,BLR ? DEL,20:00,22:50,2h 50m,1,No info,4823
SpiceJet,04/03/19,Bangalore,New Delhi,BLR ? DEL,9:30,12:20,2h 50m,1,No check-in baggage included,3919
IndiGo,06/03/19,Mumbai,Hyderabad,BOM ? HYD,19:05,20:35,1h 30m,1,No info,2754
IndiGo,04/09/19,Bangalore,New Delhi,BLR ? DEL,16:55,19:55,3h,1,No info,4823
SpiceJet,03/27/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No info,3384
SpiceJet,06/18/19,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,1h 30m,1,No check-in baggage included,1965
IndiGo,05/18/19,Kolkata,Bangalore,CCU ? BLR,22:15,19-05-21 0:50,2h 35m,1,No info,4804
SpiceJet,06/06/19,Bangalore,New Delhi,BLR ? DEL,9:30,12:20,2h 50m,1,No check-in baggage included,3919
IndiGo,06/03/19,Chennai,Kolkata,MAA ? CCU,19:35,21:55,2h 20m,1,No info,3597
Air India,03/09/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:45,2h 45m,1,No info,10741
GoAir,03/09/19,Bangalore,New Delhi,BLR ? DEL,7:45,10:40,2h 55m,1,No info,7631
IndiGo,04/18/19,Bangalore,New Delhi,BLR ? DEL,23:30,19-04-21 2:20,2h 50m,1,No info,4591
IndiGo,05/18/19,Bangalore,New Delhi,BLR ? DEL,10:10,13:00,2h 50m,1,No info,3943
Jet Airways,05/18/19,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,1,No info,5678
IndiGo,04/12/19,Bangalore,New Delhi,BLR ? DEL,23:30,13-04-21 2:20,2h 50m,1,No info,6906
SpiceJet,05/21/19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,1,No check-in baggage included,3543
Vistara Premium economy,03/03/19,Bangalore,New Delhi,BLR ? DEL,16:00,18:35,2h 35m,1,No info,11793
SpiceJet,04/09/19,Bangalore,New Delhi,BLR ? DEL,21:10,10/04/21 0:05,2h 55m,1,No info,3971
Vistara,04/12/19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,1,No info,5403
Jet Airways,04/18/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,In-flight meal not included,5198
Vistara,06/01/19,Bangalore,New Delhi,BLR ? DEL,19:30,22:15,2h 45m,1,No info,4878
Vistara,04/21/19,New Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,1,No info,6741
Air India,04/21/19,Bangalore,New Delhi,BLR ? DEL,21:05,23:55,2h 50m,1,No info,5228
IndiGo,04/06/19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,4823
SpiceJet,06/01/19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,1,No check-in baggage included,3543
GoAir,04/18/19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,4937
IndiGo,06/27/19,Chennai,Kolkata,MAA ? CCU,11:35,14:00,2h 25m,1,No info,3858
Jet Airways,05/01/19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,1,No info,7229
IndiGo,03/09/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,No info,7648
SpiceJet,06/15/19,Kolkata,Bangalore,CCU ? BLR,14:55,17:25,2h 30m,1,No info,3873
IndiGo,03/06/19,Kolkata,Bangalore,CCU ? BLR,17:15,19:55,2h 40m,1,No info,5618
Vistara,05/03/19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,1,No info,4668
Vistara,03/09/19,Bangalore,New Delhi,BLR ? DEL,16:10,18:50,2h 40m,1,No info,7923
Vistara,06/03/19,Bangalore,New Delhi,BLR ? DEL,19:30,22:15,2h 45m,1,No info,4878
Jet Airways,04/03/19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,No info,7229
SpiceJet,04/21/19,Kolkata,Bangalore,CCU ? BLR,22:20,22-04-21 0:40,2h 20m,1,No info,4911
IndiGo,03/06/19,Chennai,Kolkata,MAA ? CCU,5:15,7:35,2h 20m,1,No info,6482
IndiGo,06/01/19,Chennai,Kolkata,MAA ? CCU,13:15,15:35,2h 20m,1,No info,3597
IndiGo,06/09/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:05,2h 55m,1,No info,4823
IndiGo,03/27/19,Mumbai,Hyderabad,BOM ? HYD,20:05,21:35,1h 30m,1,No info,2227
Air India,05/27/19,Mumbai,Hyderabad,BOM ? HYD,21:05,22:25,1h 20m,1,No info,3100
IndiGo,05/09/19,Chennai,Kolkata,MAA ? CCU,5:15,7:40,2h 25m,1,No info,3540
SpiceJet,03/09/19,Mumbai,Hyderabad,BOM ? HYD,8:50,10:15,1h 25m,1,No info,5755
Vistara,05/27/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3687
IndiGo,04/27/19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,4423
SpiceJet,05/21/19,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,1,No check-in baggage included,3543
GoAir,05/24/19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,3398
Air India,04/24/19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,1,No info,5201
SpiceJet,03/01/19,Chennai,Kolkata,MAA ? CCU,9:30,12:05,2h 35m,1,No info,7298
Jet Airways,04/06/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,No info,7229
IndiGo,04/01/19,Kolkata,Bangalore,CCU ? BLR,4:40,7:15,2h 35m,1,No info,4174
Air India,04/24/19,Kolkata,Bangalore,CCU ? BLR,14:15,16:45,2h 30m,1,No info,4880
IndiGo,03/09/19,Mumbai,Hyderabad,BOM ? HYD,6:20,7:45,1h 25m,1,No info,4392
SpiceJet,06/12/19,Kolkata,Bangalore,CCU ? BLR,6:55,9:30,2h 35m,1,No check-in baggage included,3841
GoAir,06/01/19,Bangalore,New Delhi,BLR ? DEL,7:45,10:40,2h 55m,1,No info,5048
Vistara,03/21/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3739
Jet Airways,06/15/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,1,In-flight meal not included,7229
Vistara,05/09/19,New Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,1,No info,6216
Air India,06/09/19,Bangalore,New Delhi,BLR ? DEL,13:20,16:10,2h 50m,1,No info,6961
IndiGo,04/12/19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4488
Jet Airways,04/18/19,New Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,1,In-flight meal not included,5443
Jet Airways,05/21/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,No info,7229
IndiGo,06/21/19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4804
Jet Airways,03/03/19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:25,1h 30m,1,In-flight meal not included,4050
Air India,03/03/19,Bangalore,New Delhi,BLR ? DEL,21:10,23:55,2h 45m,1,No info,7591
Air India,03/09/19,Bangalore,New Delhi,BLR ? DEL,21:10,23:55,2h 45m,1,No info,4966
SpiceJet,03/01/19,Kolkata,Bangalore,CCU ? BLR,22:20,02/03/21 0:40,2h 20m,1,No info,5515
Jet Airways,04/21/19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,1,No info,7229
Air India,05/15/19,New Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,1,No info,6094
Air Asia,04/24/19,Kolkata,Bangalore,CCU ? BLR,10:20,12:55,2h 35m,1,No info,4409
Jet Airways,04/03/19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:20,1h 25m,1,No info,5678
Vistara,05/18/19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,1,No info,4878
Jet Airways,06/01/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,In-flight meal not included,7229
Jet Airways,04/21/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,In-flight meal not included,6144
Air India,05/18/19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,1,No info,6961
IndiGo,05/21/19,Chennai,Kolkata,MAA ? CCU,19:35,21:55,2h 20m,1,No info,3597
SpiceJet,04/15/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No info,4174
Air Asia,04/01/19,Kolkata,Bangalore,CCU ? BLR,19:55,22:25,2h 30m,1,No info,3807
SpiceJet,05/01/19,Bangalore,New Delhi,BLR ? DEL,21:10,02/05/21 0:05,2h 55m,1,No info,4991
SpiceJet,04/06/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No info,3873
IndiGo,05/27/19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4804
Air Asia,05/03/19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,1,No info,6181
SpiceJet,06/15/19,Bangalore,New Delhi,BLR ? DEL,21:10,16-06-21 0:05,2h 55m,1,No info,3971
IndiGo,05/06/19,Kolkata,Bangalore,CCU ? BLR,17:15,19:50,2h 35m,1,No info,4804
Jet Airways,05/01/19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,In-flight meal not included,5198
Vistara,05/03/19,Bangalore,New Delhi,BLR ? DEL,21:00,23:50,2h 50m,1,No info,5613
IndiGo,03/03/19,Mumbai,Hyderabad,BOM ? HYD,21:20,22:45,1h 25m,1,No info,4784
Air India,04/27/19,Bangalore,New Delhi,BLR ? DEL,13:20,16:10,2h 50m,1,No info,5228
Air India,06/15/19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,4667
Vistara,04/21/19,Bangalore,New Delhi,BLR ? DEL,9:45,12:35,2h 50m,1,No info,5403
IndiGo,05/24/19,Bangalore,New Delhi,BLR ? DEL,20:00,22:50,2h 50m,1,No info,4823
IndiGo,06/21/19,Mumbai,Hyderabad,BOM ? HYD,6:25,7:55,1h 30m,1,No info,4049
Air India,06/12/19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,4667
Air India,03/03/19,Bangalore,New Delhi,BLR ? DEL,6:10,8:55,2h 45m,1,No info,7591
IndiGo,06/09/19,Mumbai,Hyderabad,BOM ? HYD,12:00,13:30,1h 30m,1,No info,2754
SpiceJet,05/03/19,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,1h 30m,1,No check-in baggage included,1965
Vistara,06/24/19,Bangalore,New Delhi,BLR ? DEL,9:45,12:35,2h 50m,1,No info,4668
SpiceJet,06/09/19,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,1,No info,3597
Air Asia,04/24/19,Bangalore,New Delhi,BLR ? DEL,11:10,13:55,2h 45m,1,No info,3383
Vistara,04/27/19,Bangalore,New Delhi,BLR ? DEL,21:00,23:50,2h 50m,1,No info,5403
IndiGo,06/12/19,Mumbai,Hyderabad,BOM ? HYD,9:10,10:40,1h 30m,1,No info,4049
GoAir,06/18/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,1,No info,3419
IndiGo,05/03/19,Chennai,Kolkata,MAA ? CCU,13:15,15:35,2h 20m,1,No info,3597
IndiGo,05/27/19,Bangalore,New Delhi,BLR ? DEL,21:15,28-05-21 0:15,3h,1,No info,3943
IndiGo,03/15/19,Chennai,Kolkata,MAA ? CCU,5:15,7:35,2h 20m,1,No info,4326
Air India,03/21/19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,3670
IndiGo,06/18/19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,4823
Jet Airways,04/03/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,1,In-flight meal not included,2071
IndiGo,03/18/19,Chennai,Kolkata,MAA ? CCU,13:20,15:35,2h 15m,1,No info,3858
Air India,05/06/19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,1,No info,5228
IndiGo,03/24/19,Kolkata,Bangalore,CCU ? BLR,20:25,23:05,2h 40m,1,No info,8872
GoAir,05/03/19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,3898
SpiceJet,03/21/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No check-in baggage included,3332
Vistara,06/15/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:35,2h 35m,1,No info,4878
SpiceJet,05/12/19,Mumbai,Hyderabad,BOM ? HYD,5:45,7:15,1h 30m,1,No info,2017
IndiGo,03/18/19,Kolkata,Bangalore,CCU ? BLR,5:30,8:20,2h 50m,1,No info,4462
IndiGo,03/27/19,Chennai,Kolkata,MAA ? CCU,5:15,7:35,2h 20m,1,No info,4326
IndiGo,06/12/19,Mumbai,Hyderabad,BOM ? HYD,16:55,18:25,1h 30m,1,No info,3175
